,Case #,State,Full Date,Day,Month,Year,date_diff
48,49,CA,1993-07-01,1,7,1993,235 
49,50,NC,1993-08-06,6,8,1993,36 
50,51,CA,1993-10-14,14,10,1993,69 
51,52,CA,1993-12-02,2,12,1993,49 
52,53,NY,1993-12-07,7,12,1993,5 
53,54,CO,1993-12-14,14,12,1993,7 
54,55,WA,1994-06-20,20,6,1994,188 
55,56,NC,1994-12-31,31,12,1994,194 
56,57,TX,1995-04-03,3,4,1995,93 
57,58,CA,1995-07-19,19,7,1995,107 
58,59,NY,1995-12-19,19,12,1995,153 
59,60,FL,1996-02-09,9,2,1996,52 
60,61,MS,1996-04-24,24,4,1996,75 
61,62,NH,1997-08-19,19,8,1997,482 
62,63,SC,1997-09-15,15,9,1997,27 
63,64,FL,1997-12-03,3,12,1997,79 
64,65,CA,1997-12-18,18,12,1997,15 
65,66,CT,1998-03-06,6,3,1998,78 
66,67,AR,1998-03-24,24,3,1998,18 
67,68,AR,1998-03-24,24,3,1998,0 
68,69,OR,1998-05-20,20,5,1998,57 
69,70,LA,1999-03-10,10,3,1999,294 
70,71,CO,1999-04-20,20,4,1999,41 
71,72,CO,1999-04-20,20,4,1999,0 
72,73,NV,1999-06-03,3,6,1999,44 
73,74,GA,1999-07-29,29,7,1999,56 
74,75,TX,1999-09-15,15,9,1999,48 
75,76,HI,1999-11-02,2,11,1999,48 
76,77,FL,1999-12-30,30,12,1999,58 
77,78,TX,2000-03-20,20,3,2000,81 
78,79,PA,2000-04-28,28,4,2000,39 
79,80,MA,2000-12-26,26,12,2000,242 
80,81,TX,2001-01-09,9,1,2001,14 
81,82,IL,2001-02-05,5,2,2001,27 
82,83,CO,2001-07-03,3,7,2001,148 
83,84,CA,2001-09-08,8,9,2001,67 
84,85,IN,2002-03-22,22,3,2002,195 
85,86,AL,2003-02-25,25,2,2003,340 
86,87,MS,2003-07-08,8,7,2003,133 
87,88,IL,2003-08-27,27,8,2003,50 
88,89,ID,2003-10-24,24,10,2003,58 
89,90,KS,2004-07-02,2,7,2004,252 
90,91,WI,2004-11-21,21,11,2004,142 
91,92,OH,2004-12-08,8,12,2004,17 
92,93,GA,2005-03-11,11,3,2005,93 
93,94,WI,2005-03-12,12,3,2005,1 
94,95,MN,2005-03-21,21,3,2005,9 
95,96,TX,2005-08-28,28,8,2005,160 
96,97,CA,2006-01-30,30,1,2006,155 
97,98,WA,2006-03-25,25,3,2006,54 
98,99,LA,2006-05-21,21,5,2006,57 
99,100,PA,2006-10-02,2,10,2006,134 
100,101,UT,2007-02-12,12,2,2007,133 
101,102,VA,2007-04-16,16,4,2007,63 
102,103,NE,2007-12-05,5,12,2007,233 
103,104,CO,2007-12-09,9,12,2007,4 
104,105,MO,2008-02-07,7,2,2008,60 
105,106,IL,2008-02-14,14,2,2008,7 
106,107,CA,2008-03-18,18,3,2008,33 
107,108,KY,2008-06-25,25,6,2008,99 
108,109,WA,2008-09-02,2,9,2008,69 
109,110,NC,2009-03-29,29,3,2009,208 
110,111,NY,2009-04-03,3,4,2009,5 
111,112,NC,2009-11-01,1,11,2009,212 
112,113,TX,2009-11-05,5,11,2009,4 
